config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_C_uniform_lam0.01,Model_C,uniform,0.01,EGY,567.2909089054583,2.911484733157446,0.30422536659322935,505.52449107628684,1048.0907244490409,-12.218283964376818,45.87387373324278,0.0716538093984127,1345.7663304114694,2.6359089612960815,2.6359128952026367
Model_C_uniform_lam0.1,Model_C,uniform,0.1,EGY,510.67454789007985,2.576974913202375,0.31572329291296986,505.52449107628684,1048.0907244490409,-1.0187551552306173,51.27573062355546,0.061264594085514545,4328.657489585956,2.792553186416626,2.7925617694854736
Model_C_uniform_lam1.0,Model_C,uniform,1.0,EGY,885.6108667076335,4.188376409049763,0.2002572301486257,505.52449107628684,1048.0907244490409,-75.18654038345873,15.50246118501045,0.14721626043319702,8914.596731914096,1.9158526360988617,1.9158577919006348
Model_C_uniform_lam10.0,Model_C,uniform,10.0,EGY,1568.4718513837809,8.81784614461359,0.761858162271353,505.52449107628684,1048.0907244490409,-210.26624408333333,-49.650389493552034,0.18191733583807945,3498.5187781564664,1.7042028903961182,1.7042652368545532
Model_A_weighted_lam0.001,Model_A,weighted,0.001,RUS,2133.2078731192896,2.157221449925058,0.07762728424725933,4504.2538921072555,2186.946061975524,52.64015030641853,2.457225159348074,0.07289365778366724,1250.4370984090797,2.6138099431991577,2.6258182525634766
Model_A_weighted_lam0.01,Model_A,weighted,0.01,RUS,15213.5599294291,14.220487499904758,0.9797518458382086,4504.2538921072555,2186.946061975524,-237.75982202263552,-595.6531847743105,0.26994448105494184,6355.555889423866,1.3095393478870392,1.3095401525497437
Model_A_weighted_lam0.1,Model_A,weighted,0.1,RUS,12520.234285616814,11.252910830561481,0.5014858511745347,4504.2538921072555,2186.946061975524,-177.96466596955946,-472.4985404672929,0.22272748053073882,5014.7082731526925,1.501806616783142,1.5018075704574585
Model_A_weighted_lam1.0,Model_A,weighted,1.0,RUS,40910.93750725219,34.64430531582831,0.5916373712804778,4504.2538921072555,2186.946061975524,-808.2733453134132,-1770.6879981436896,0.6489671945571899,17181.51961639253,0.4323727935552597,0.4323735535144806
Model_A_weighted_lam10.0,Model_A,weighted,10.0,RUS,32643.272127201915,35.291256901424475,2.001101537876539,4504.2538921072555,2186.946061975524,-624.7209617646618,-1392.6418485929378,0.4840014298756917,13793.471483197824,0.7256622016429901,0.7256754636764526
Model_A_uniform_lam0.001,Model_A,uniform,0.001,RUS,2404.94474061708,1.9291673638111204,0.1397067193207039,4504.2538921072555,2186.946061975524,46.60725620215963,-9.96817811064951,0.06657079234719276,951.543166477551,2.709489643573761,2.7105963230133057
Model_A_uniform_lam0.01,Model_A,uniform,0.01,RUS,12470.969250193843,10.08256725406059,0.21000716141445386,4504.2538921072555,2186.946061975524,-176.8709213316451,-470.2458541171563,0.24245235323905945,5158.992069508266,1.4169508814811707,1.418766736984253
Model_A_uniform_lam0.1,Model_A,uniform,0.1,RUS,23094.5153077954,21.123214301350533,1.265683827391001,4504.2538921072555,2186.946061975524,-412.72676587489025,-956.0166850632581,0.44562072306871414,9529.903022067327,0.8082870990037918,0.8082872629165649
Model_A_uniform_lam1.0,Model_A,uniform,1.0,RUS,16900.938566076886,13.433242645960211,0.3758253537859482,4504.2538921072555,2186.946061975524,-275.2217119841352,-672.8100322149618,0.340811163187027,6693.8448199312315,1.0764267146587372,1.0764275789260864
Model_A_uniform_lam10.0,Model_A,uniform,10.0,RUS,66841.92730083651,71.40169847775991,0.15952078489353586,4504.2538921072555,2186.946061975524,-1383.9733483488296,-2956.4049321114253,0.6628120243549347,28469.188203887632,0.4112638160586357,0.41126421093940735
Model_B_weighted_lam0.001,Model_B,weighted,0.001,RUS,3748.075860719401,3.058485290212289,0.1792686855016565,4504.2538921072555,2186.946061975524,16.788086317978106,-71.38401014488984,0.08886299431324005,1512.813063989642,2.4163259863853455,2.4278788566589355
Model_B_weighted_lam0.01,Model_B,weighted,0.01,RUS,10278.216922481657,8.997068647334732,0.9011005904425189,4504.2538921072555,2186.946061975524,-128.18911119757348,-369.98035759496884,0.17182906667391462,4159.25438358484,1.759303092956543,1.7646371126174927
Model_B_weighted_lam0.1,Model_B,weighted,0.1,RUS,29600.279193204064,24.39153901769646,0.5011371202310212,4504.2538921072555,2186.946061975524,-557.1627599650242,-1253.4983650426832,0.5062606692314148,11970.796497579391,0.680703654885292,0.6807039976119995
Model_B_weighted_lam1.0,Model_B,weighted,1.0,RUS,26570.072384788084,25.983651315595296,1.143677952799737,4504.2538921072555,2186.946061975524,-489.8884259465584,-1114.9395381423656,0.5732708811759949,10984.29105605943,0.5563964992761612,0.556397557258606
Model_B_weighted_lam10.0,Model_B,weighted,10.0,RUS,8495.28741372569,8.169176201220347,0.9542994542880371,4504.2538921072555,2186.946061975524,-88.60587385209055,-288.45436389280127,0.11580897867679597,3504.0795148654274,2.155568540096283,2.156316041946411
Model_B_uniform_lam0.001,Model_B,uniform,0.001,RUS,2973.8570327659336,1.9265493943662813,0.11695715328896972,4504.2538921072555,2186.946061975524,33.97670060346767,-35.98218467626827,0.08884941972792149,1179.3055519620902,2.4208149313926697,2.422971248626709
Model_B_uniform_lam0.01,Model_B,uniform,0.01,RUS,9115.006336928598,9.697285348877042,0.14202690077637392,4504.2538921072555,2186.946061975524,-102.36439941586559,-316.7915476019916,0.15489742904901505,3647.5150315202454,1.8649925589561462,1.86643648147583
Model_B_uniform_lam0.1,Model_B,uniform,0.1,RUS,26696.308898421306,21.986700332310626,0.2497686464700535,4504.2538921072555,2186.946061975524,-492.6910324748988,-1120.7118119001916,0.4400363117456436,11087.76600059581,0.8208980858325958,0.8213596940040588
Model_B_uniform_lam1.0,Model_B,uniform,1.0,RUS,6824.085122142256,6.005394495052868,0.3991134480283576,4504.2538921072555,2186.946061975524,-51.50311873182838,-212.03719381985516,0.12283579260110855,2986.06157440099,2.096906840801239,2.096909761428833
